product_name,product_price,product_rating,product_reviews,product_url
LOOKMUSTER (15.6 inch 30 L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack,₹439,3.8,54,https://www.amazon.in/LOOKMUSTER-Waterproof-Backpack-College-Business/dp/B0BZW8KW18/ref=sr_1_30?crid=2M096C61O4MLT&keywords=bags&qid=1692669132&sprefix=ba%2Caps%2C283&sr=8-30
"American Tourister VALEX BLACK LAPTOP BACKPACK 28 Ltrs,Volume, LAPTOP COMPARTMENT, BOTTLE POCKET, FRONT ORGANIZER","₹1,399",4.3,848,https://www.amazon.in/American-Tourister-BACKPACK-COMPARTMENT-ORGANIZER/dp/B0BTD4S4XF/ref=sr_1_29?crid=2M096C61O4MLT&keywords=bags&qid=1692669132&sprefix=ba%2Caps%2C283&sr=8-29
HEROZ Hacker 50 litres Large Size Nylon Travel Laptop Backpack Water Resistant Slim Durable Computer Book Bag Tracking Fits Up to 17.3-inch Laptop (058- ALL) (Navy Blue),"₹1,599",4.2,"3,929",https://www.amazon.in/HEROZ-Backpack-Resistant-Computer-17-3-inch/dp/B083N3DCTM/ref=sr_1_38_sspa?crid=2M096C61O4MLT&keywords=bags&qid=1692669132&sprefix=ba%2Caps%2C283&sr=8-38-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9idGY&psc=1
HEROZ Hammer Unisex Nylon 45 L Travel Laptop Backpack Water Resistant Slim Durable Fits Up to 17.3 Inch Laptop Notebook (Grey & Sky Blue),"₹1,499",4.2,"8,115",https://www.amazon.in/HEROZ-Backpack-Resistant-Computer-17-3-inch/dp/B07MGDH98T/ref=sr_1_37_sspa?crid=2M096C61O4MLT&keywords=bags&qid=1692669132&sprefix=ba%2Caps%2C283&sr=8-37-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9idGY&psc=1
"American Tourister VALEX BLUE LAPTOP BACKPACK 28 Ltrs,Volume, LAPTOP COMPARTMENT, BOTTLE POCKET, FRONT ORGANIZER","₹1,399",4.2,665,https://www.amazon.in/American-Tourister-BACKPACK-COMPARTMENT-ORGANIZER/dp/B0BTD4FK9G/ref=sr_1_25?crid=2M096C61O4MLT&keywords=bags&qid=1692669132&sprefix=ba%2Caps%2C283&sr=8-25
"Mi Step Out 12 L Mini Backpack (Small Size, Black, Water Repellant)",₹249,4.1,"9,706",https://www.amazon.in/Backpack-Small-Black-Water-Repellant/dp/B088XB5XY8/ref=sr_1_26?crid=2M096C61O4MLT&keywords=bags&qid=1692669132&sprefix=ba%2Caps%2C283&sr=8-26
Lavie Sport Lino Large Size 63 cms Wheel Duffle Bag for Travel | Travel Bag with Trolley,"₹1,049",,"8,320",https://www.amazon.in/Lavie-Sport-Duffle-Luggage-Trolley/dp/B097RJ22Q3/ref=sr_1_19?crid=2M096C61O4MLT&keywords=bags&qid=1692669136&sprefix=ba%2Caps%2C283&sr=8-19
Gear Classic 20L Small Size Faux Leather Water Resistant Anti Theft Unisex Laptop Backpack- Brown,₹979,4.4,"6,040",https://www.amazon.in/Gear-Classic-Leather-Backpack-LBPCLSLTH0201/dp/B07G4F6XFH/ref=sr_1_20?crid=2M096C61O4MLT&keywords=bags&qid=1692669136&sprefix=ba%2Caps%2C283&sr=8-20
"WILDHORN 31L Laptop Backpack for Men/Women I Fits upto 15.6"" Laptop I Waterproof I Travel/Business/College Bookbags",₹599,4.0,"1,609",https://www.amazon.in/WILDHORN-Backpack-Compartment-Business-Stitching/dp/B09QL66G55/ref=sr_1_18?crid=2M096C61O4MLT&keywords=bags&qid=1692669136&sprefix=ba%2Caps%2C283&sr=8-18
"uppercase 26 Ltrs Ryder Professional Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty","₹2,400",4.3,78,https://www.amazon.in/UPPERCASE-Professional-Backpack-resistant-sustainable/dp/B0BXFDK5J2/ref=sr_1_27_sspa?crid=2M096C61O4MLT&keywords=bags&qid=1692669132&sprefix=ba%2Caps%2C283&sr=8-27-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&psc=1
Gear CarryOn 16L Foldable Water Resistant School Bag//Backpack/College Bag for Men/Women - Blue Black,₹199,3.7,"7,051",https://www.amazon.in/GEAR-Black-Blue-Backpack-years/dp/B019HA8AYG/ref=sr_1_17?crid=2M096C61O4MLT&keywords=bags&qid=1692669136&sprefix=ba%2Caps%2C283&sr=8-17
Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,₹849,3.9,"3,442",https://www.amazon.in/Half-Moon-Resistant-Backpack-Compartment/dp/B0BJ32LQ6X/ref=sr_1_16?crid=2M096C61O4MLT&keywords=bags&qid=1692669136&sprefix=ba%2Caps%2C283&sr=8-16
"uppercase Apex Professional Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty","₹1,800",4.4,89,https://www.amazon.in/Uppercase-Professional-Backpack-Resistant-Sustainable/dp/B0BWNBQXDZ/ref=sr_1_22_sspa?crid=2M096C61O4MLT&keywords=bags&qid=1692669136&sprefix=ba%2Caps%2C283&sr=8-22-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9idGY&psc=1
POLICE Backpack for Men Casual Laptop Bag Office/Travel/College 30 Ltr Hedge Polyester - Black,"₹1,399",4.1,"5,852",https://www.amazon.in/Police-Polyester-laptop-casual-backpack/dp/B09CQ5T3LN/ref=sr_1_15?crid=2M096C61O4MLT&keywords=bags&qid=1692669136&sprefix=ba%2Caps%2C283&sr=8-15
"Red Lemon Titan Ultrafit Plus Bange Series 15.6-inch Laptop Bags Backpacks for Men and Women55L Outdoor and Camping 3in1 Office Bags,Travelling,Backpack","₹3,999",4.4,509,https://www.amazon.in/Red-Lemon-Plus-Travelling-1908/dp/B082Y7TZ8Z/ref=sr_1_21_sspa?crid=2M096C61O4MLT&keywords=bags&qid=1692669136&sprefix=ba%2Caps%2C283&sr=8-21-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9idGY&psc=1
"Fur Jaden 55 LTR Rucksack Travel Backpack Bag for Trekking, Hiking with Shoe Compartment",₹849,4.3,"5,600",https://www.amazon.in/Rucksack-Travel-Backpack-Trekking-Compartment/dp/B07YDGQQN5/ref=sr_1_14?crid=2M096C61O4MLT&keywords=bags&qid=1692669136&sprefix=ba%2Caps%2C283&sr=8-14
Lunar's Bingo - 48 L Laptop Office/School/Travel/Business Backpack Water Resistant - Fits Up to 15.6 Inch Laptop Notebook with 1 Year Warranty,₹819,3.9,"10,095",https://www.amazon.in/Lunars-Bingo-Laptop-Resistant-48L/dp/B08YZ8FFBZ/ref=sr_1_13?crid=2M096C61O4MLT&keywords=bags&qid=1692669136&sprefix=ba%2Caps%2C283&sr=8-13
Martucci 15.6 inch 30 L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack(Black),₹549,3.9,"7,766",https://www.amazon.in/Martucci-Casual-Travelling-Laptop-Backpack/dp/B088B4P6ZW/ref=sr_1_36?crid=2M096C61O4MLT&keywords=bags&qid=1692669139&sprefix=ba%2Caps%2C283&sr=8-36
ADISA 31 Ltrs Casual Backpack School College Bag Pack,₹399,4.0,205,https://www.amazon.in/ADISA-Casual-Backpack-College-BP046-NAV_Navy/dp/B0BX3QFVSM/ref=sr_1_35?crid=2M096C61O4MLT&keywords=bags&qid=1692669139&sprefix=ba%2Caps%2C283&sr=8-35
URBAN CARRIER School Bag For girls school bags for boys Class 5-10 Large 4 partition 45 L Laptop Collage Office Travel Unisex Backpack,₹431,3.5,"1,080",https://www.amazon.in/School-school-partition-Collage-Backpack/dp/B09NNYCQ1Q/ref=sr_1_33?crid=2M096C61O4MLT&keywords=bags&qid=1692669139&sprefix=ba%2Caps%2C283&sr=8-33
Safari Compact Size 15 Ltrs Casual Backpack For Unisex Adult - Sea Blue,₹329,4.0,"20,481",https://www.amazon.in/SAFARI-Ltrs-Casual-Backpack-DAYPACKNEO15CBSEB/dp/B07Q7CNPMV/ref=sr_1_34?crid=2M096C61O4MLT&keywords=bags&qid=1692669139&sprefix=ba%2Caps%2C283&sr=8-34
"Arctic Hunter Hard-Top 15.6"" Laptop Bag 21L (Model Secure) Anti-Theft Built-in Combination Lock, Waterproof for Office, College, Men, Women","₹3,990",4.3,40,https://www.amazon.in/Secure-Combination-Waterproof-College-Walkent/dp/B09T71WXSF/ref=sr_1_12_sspa?crid=2M096C61O4MLT&keywords=bags&qid=1692669136&sprefix=ba%2Caps%2C283&sr=8-12-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&psc=1
"WILDHORN 31L Laptop Backpack for Men/Women I Fits upto 15.6"" Laptop I Waterproof I Travel/Business/College Bookbags",₹599,4.0,"1,609",https://www.amazon.in/WILDHORN-Backpack-Compartment-Business-Stitching/dp/B09QL81ZHB/ref=sr_1_32?crid=2M096C61O4MLT&keywords=bags&qid=1692669139&sprefix=ba%2Caps%2C283&sr=8-32
"ZEBRONICS Camp1, 14 Liters, 1 Compartment Laptop Backpacks Fit Up to 15.6-inch Laptop, Polyester Fabric, Office Use and Mini Business Travel Bags (Grey)",₹528,3.0,6,https://www.amazon.in/ZEBRONICS-Compartment-Backpacks-15-6-inch-Polyester/dp/B0C6QNNPMM/ref=sr_1_17_sspa?crid=2M096C61O4MLT&keywords=bags&qid=1692669139&sprefix=ba%2Caps%2C283&sr=8-17-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA&psc=1
uppercase 14 Ltrs Medium (14.6 Inch) Laptop Backpack 2100EBP1 Roll Top Office College 3x More Water Repellent Sustainable Bags With Rainproof Zippers For Unisex,"₹1,000",4.2,179,https://www.amazon.in/Uppercase-Medium-Laptop-Backpack-2100Ebp1/dp/B0B691HSL3/ref=sr_1_38_sspa?crid=2M096C61O4MLT&keywords=bags&qid=1692669139&sprefix=ba%2Caps%2C283&sr=8-38-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9idGY&psc=1
HEROZ Hacker 50 litres Large Size Nylon Travel Laptop Backpack Water Resistant Slim Durable Computer Book Bag Tracking Fits Up to 17.3-inch Laptop (058- ALL) (Navy Blue),"₹1,599",4.2,"3,929",https://www.amazon.in/HEROZ-Backpack-Resistant-Computer-17-3-inch/dp/B083N3DCTM/ref=sr_1_37_sspa?crid=2M096C61O4MLT&keywords=bags&qid=1692669139&sprefix=ba%2Caps%2C283&sr=8-37-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9idGY&psc=1
LOOKMUSTER (15.6 inch 30 L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack,₹439,3.8,54,https://www.amazon.in/LOOKMUSTER-Waterproof-Backpack-College-Business/dp/B0BZW8KW18/ref=sr_1_30?crid=2M096C61O4MLT&keywords=bags&qid=1692669139&sprefix=ba%2Caps%2C283&sr=8-30
"American Tourister VALEX BLACK LAPTOP BACKPACK 28 Ltrs,Volume, LAPTOP COMPARTMENT, BOTTLE POCKET, FRONT ORGANIZER","₹1,399",4.3,848,https://www.amazon.in/American-Tourister-BACKPACK-COMPARTMENT-ORGANIZER/dp/B0BTD4S4XF/ref=sr_1_29?crid=2M096C61O4MLT&keywords=bags&qid=1692669139&sprefix=ba%2Caps%2C283&sr=8-29
FUR JADEN Anti Theft Backpack 15.6 Inch Laptop Bag with USB Charging Port For Men Women Boys Girls,₹839,4.0,"13,934",https://www.amazon.in/Fur-Jaden-Black-Waterproof-Backpack/dp/B078GLXMDY/ref=sr_1_31?crid=2M096C61O4MLT&keywords=bags&qid=1692669139&sprefix=ba%2Caps%2C283&sr=8-31
Lavie Sport Lino Large Size 63 cms Wheel Duffle Bag for Travel | Travel Bag with Trolley,"₹1,049",,"8,320",https://www.amazon.in/Lavie-Sport-Duffle-Luggage-Trolley/dp/B097RJ22Q3/ref=sr_1_19?crid=2M096C61O4MLT&keywords=bags&qid=1692669144&sprefix=ba%2Caps%2C283&sr=8-19
"WILDHORN 31L Laptop Backpack for Men/Women I Fits upto 15.6"" Laptop I Waterproof I Travel/Business/College Bookbags",₹599,4.0,"1,609",https://www.amazon.in/WILDHORN-Backpack-Compartment-Business-Stitching/dp/B09QL66G55/ref=sr_1_18?crid=2M096C61O4MLT&keywords=bags&qid=1692669144&sprefix=ba%2Caps%2C283&sr=8-18
Gear CarryOn 16L Foldable Water Resistant School Bag//Backpack/College Bag for Men/Women - Blue Black,₹199,3.7,"7,051",https://www.amazon.in/GEAR-Black-Blue-Backpack-years/dp/B019HA8AYG/ref=sr_1_17?crid=2M096C61O4MLT&keywords=bags&qid=1692669144&sprefix=ba%2Caps%2C283&sr=8-17
